Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,IDA only,Isle of Man,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Liechtenstein,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1999,89005,20170844,15866869,3108778,64370,276393837,2966034,36467218,3089022,57053,74674,18926000,7992324,7982750,6267124,10226419,6664098,11282701,125189651,8210624,636541,294062,3743354,10026738,238988,61285,8257066,172318675,270451,326210,577881,1610264,3558014,30401286,109060951,7143991,147555,15162800,1252735000,16032573,15112592,45919613,3038433,38999468,528848,420452,3885430,6468479,11084670,139428,40420,926046,10283860,82100243,699975,69835,5321799,8343283,30623406,12442115,67515591,2237405,40386875,1390244,64343013,5165474,806303,60496718,46436,107781,1199052,58682466,4157192,18812359,30529,8054743,1277133,1177131,581770,10761698,102432,56100,11311078,153953,749674,6606500,6397151,4512597,8319057,10237530,208615169,700728462,76001,1038058156,3754786,64800880,22802064,277381,6125000,56916317,2632675,5031762,126631000,14928426,31098757,4840400,11886458,82972,43622,46616677,1951636,485702149,5235346,3747766,2699712,5275926,154995,513366723,32769,18663284,2019731,3524238,430475,2390482,418383,28116,28455509,31844,2929735,15282521,273527,309436741,97484832,50423,4548765062,2024394,10642936,387578,46181077,606001,2376225,55636,17244188,2561585,1175267,10854322,22661298,1763859,209214,10929918,119260063,4991040,15812088,4461913,23509964,10449,3835100,2254904,20540138,138624621,2971196,26078293,76325927,18776,5716161,38660271,535773390,3800081,22731482,10217828,5216349,2848431,1939992,1015421530,236221,570489,22472040,147214776,7501234,1365067928,20194527,26626520,9568722,3958723,401586,4462378,5844846,27145,8553601,7540401,646892639,5933882,648148316,28948609,139959,465380,5396020,1983045,8857874,994108,31084,80410,16013985,19065,8053536,4780448,62298571,6119661,4466135,497441716,873136,97482,1263933,9613588,62287397,9346,32682239,22952410,49674000,3308012,279040000,24311650,107758,23739841,20026,108599,79035871,181265,6034491778,173609,1762000,16921149,44338543,10140561,11822719
2000,90853,20779953,16395473,3089027,65390,282344154,3134062,36870787,3069591,57821,76016,19153000,8011566,8048600,6378871,10251250,6865951,11607942,127657854,8170172,664611,298051,3751176,9979610,247315,61833,8418264,174790340,271515,333165,591021,1643334,3640427,30685730,108447824,7184250,148443,15342353,1262645000,16454668,15513945,47105826,3127411,39629965,542357,428188,3962372,6513489,11126430,133860,42303,943290,10255063,82211508,717584,69650,5339616,8471321,31042235,12681123,68831561,2292416,40567864,1396985,66224804,5176209,811006,60912500,46735,107402,1228360,58892514,4077131,19278856,31077,8240730,1317703,1201301,606181,10805808,102833,56200,11589761,155329,746715,6665000,6574509,4468302,8463806,10210971,211513823,717995644,76941,1056575549,3805174,65623405,23497585,281205,6289000,56942108,2654701,5122493,126843000,14883626,31964557,4898400,12155239,84396,44083,47008111,2045123,492968023,5323700,3842778,2848456,5357891,156729,520903450,33184,18777601,2032804,3499536,436300,2367550,427782,28935,28793679,32147,2923783,15766806,279398,315326801,98899845,50753,4611084564,2034819,10946445,390087,46719701,604950,2397418,57453,17711927,2630219,1186873,11148758,23194257,1794571,213230,11331557,122283850,5069302,15925513,4490967,23941110,10337,3857700,2267973,20917092,142343578,3030328,26459944,77991755,19105,5847586,38258629,550660001,3810605,22929075,10289898,5323201,2922153,1962452,1020504904,240686,592468,22442971,146596869,7933681,1390946064,20663843,27275015,9797734,4027887,412660,4584571,5887936,27462,8872254,7516346,664059577,6199394,665327581,29393033,142262,470944,5388720,1988925,8872109,1005435,30519,81131,16410848,20164,8355654,4924402,62952642,6216341,4516133,504921262,884366,97973,1267153,9708350,63240194,9394,33499180,23650172,49176500,3319736,282162411,24650400,107784,24192446,20311,108642,79910412,184972,6114332537,174454,1700000,17409072,44967708,10415944,11881477
2001,92898,21606988,16945753,3060173,67341,288432163,3302719,37275652,3050687,58494,77212,19413000,8042293,8111200,6525545,10286570,7076733,11944587,130088702,8009142,697545,302618,3755512,9928549,255063,62504,8580235,177196054,272500,340034,603640,1674678,3722018,31020902,107660041,7229854,149097,15516113,1271850000,16853026,15928910,48428545,3217933,40255956,555888,435709,4034074,6559094,11164667,129047,43935,960276,10216605,82349925,733015,69661,5358783,8598601,31451514,12914667,70152661,2374722,40850412,1388115,68159423,5188008,813925,61357430,46997,107173,1258003,59119673,4014373,19756928,31602,8417081,1360074,1227106,631666,10862132,103249,56350,11871565,156401,745206,6714300,6751912,4299642,8608819,10187576,214427417,735758691,77703,1075000085,3866243,66449112,24208180,284968,6439000,56974100,2674702,5217336,127149000,14858335,32848564,4945100,12405408,85849,44602,47370164,2103282,500087458,5409582,3991001,2953927,5443248,158179,528283160,33552,18911730,2035740,3470818,441525,2337170,437938,29853,29126330,32470,2917252,16260932,286306,321297208,100298153,51422,4672320881,2042842,11271600,393028,47225120,607389,2419588,58321,18221888,2702400,1196287,11432000,23709119,1823672,217324,11751365,125394046,5145366,16046180,4513751,24347106,10215,3880500,2294962,21276743,145978402,3089648,26799285,79672873,19386,5974629,38248076,566366102,3818774,23132980,10362722,5428444,2997784,1984496,1025401800,244931,615012,22131970,145976482,8231156,1416822959,21202642,27971082,10036104,4138012,423944,4754072,5927006,27812,9186725,7503433,681678581,6447793,682956070,29820333,144755,476574,5378867,1992060,8895960,1013609,30600,81202,16766561,21573,8678051,5062567,63539196,6318513,4564083,512247471,901214,98487,1271632,9793903,64192243,9484,34385856,24388968,48662400,3325473,284968955,24964450,107896,24646472,20675,108549,80742499,189219,6193671774,175392,1701154,17918373,45571274,10692193,11923914
2002,94992,22600770,17519417,3051010,70049,294665185,3478777,37681749,3033978,59080,78295,19651400,8081957,8171950,6704113,10332785,7295394,12293100,132478086,7837161,735146,307660,3759387,9865548,262378,62912,8742814,179537520,273425,346782,616018,1704642,3802128,31360079,106959751,7284753,149596,15684409,1280400000,17231539,16357602,49871666,3310387,40875363,569479,442951,4100925,6604961,11199651,129205,45351,976964,10196916,82488495,746942,69837,5375931,8724975,31855109,13143465,71485043,2481058,41431558,1379350,70142091,5200598,815257,61805267,47233,107030,1288315,59370479,3978515,20246381,32102,8586074,1404261,1254453,658384,10902022,103634,56609,12147518,157176,744789,6744100,6929265,4302174,8754150,10158608,217357793,753924112,78318,1093317189,3931947,67284796,24931919,287523,6570000,57059007,2692845,5317506,127445000,14858948,33751739,4990700,12637727,87305,45168,47644736,2136997,507060155,5493246,4182205,3024729,5531089,159392,535509360,33879,19062482,2029829,3443067,446175,2310173,448821,30910,29454768,32806,2910504,16765117,294186,327362252,101684758,52370,4732698508,2048928,11616887,395969,47702171,609828,2443271,58420,18764155,2778099,1204621,11713664,24208391,1851523,221490,12189983,128596076,5219328,16148929,4538159,24725627,10102,3948500,2334858,21639132,149549700,3149188,27100968,81365258,19637,6098621,38230364,582828705,3823701,23339453,10419631,5531962,3075373,2006078,1030561684,248972,640868,21730496,145306497,8427060,1442644058,21805313,28704778,10283699,4175950,435432,4965766,5962136,28175,9501342,7496522,699777823,6688226,701066167,30250171,147447,482228,5376912,1994530,8924958,1019059,30777,83723,17084632,23232,9019233,5197031,64069087,6426867,4610005,519420817,922694,99022,1277213,9871251,65145367,9596,35334788,25167257,48202470,3326040,287625193,25271850,108097,25100408,21129,108510,81534407,193920,6272752973,176407,1702310,18443691,46150913,10971698,11954290
2003,97017,23680871,18121479,3039616,73182,301113849,3711932,38087868,3017932,59504,79300,19895400,8121423,8234100,6909154,10376133,7520555,12654621,134791603,7775327,778708,313129,3762173,9796749,269425,63325,8905823,181809246,274329,353293,627839,1734398,3881181,31644028,106624167,7339001,150068,15849652,1288400000,17599610,16800865,51425580,3406922,41483872,583211,449930,4164053,6650970,11229183,131897,46632,993563,10193998,82534176,759641,70100,5390574,8850317,32264157,13369678,72826097,2600973,42187645,1370720,72170584,5213014,816076,62244886,47432,106901,1319953,59647577,3951736,20750299,32555,8753093,1449925,1283305,686664,10928070,104005,56765,12415334,157717,745143,6730800,7106319,4303399,8900104,10129552,220309469,772456490,78884,1111523144,3996521,68122938,25644499,289521,6689700,57313203,2709437,5434030,127718000,14909018,34678779,5043300,12856163,88835,45749,47892330,2161626,513900749,5576640,4388375,3077058,5620547,160530,542599538,34175,19224037,2018348,3415213,451630,2287955,460165,32053,29782884,33153,2902320,17279141,302683,333608779,103081020,53456,4792552811,2053426,11982695,398582,48148902,612267,2468762,57947,19331100,2857148,1213370,12000181,24698819,1879117,225296,12647984,131900631,5292118,16225302,4564855,25080872,9994,4027200,2386166,22018494,153093373,3209048,27372226,83051971,19809,6223377,38204570,599938109,3826095,23542426,10458821,5632983,3154969,2027846,1035711708,252703,681788,21574326,144648618,8557161,1468324422,22456649,29460519,10541467,4114826,447017,5201070,5994077,28562,9815412,7480591,718420058,6935676,719716209,30697310,150415,487938,5373374,1995733,8958229,1022802,31472,82781,17415214,25011,9373916,5330639,64549866,6541547,4655743,526462542,947108,99589,1283559,9945277,66089402,9726,36337782,25980552,47812949,3323668,290107933,25567650,108326,25551624,21672,108506,82301656,198959,6351882363,177484,1703466,18985000,46719196,11256743,11982224
2004,98737,24726684,18758145,3026939,76244,307862843,4068570,38491972,3000720,59681,80336,20127400,8171966,8306500,7131693,10421137,7750004,13030569,136986432,7716860,829844,318894,3764194,9730146,276504,63740,9069039,184006481,275284,359433,638815,1765527,3959875,31940655,106331716,7389625,150716,16014971,1296075000,17970494,17259322,53068880,3510468,42075953,597228,456617,4225155,6696953,11250365,134192,47902,1010408,10197101,82516260,771603,70382,5404523,8974444,32692163,13596388,74172073,2719803,42921895,1362550,74239505,5228172,817860,62704895,47600,106625,1353795,59987905,3927340,21272323,32928,8925743,1496527,1313492,716949,10955141,104347,56911,12682108,158101,745737,6783500,7282953,4304600,9047077,10107146,223285676,791288291,79520,1129623456,4070262,68951281,26313838,292074,6809000,57685327,2725015,5580244,127761000,15012985,35635271,5104700,13066469,90499,46323,48082519,2200492,520642948,5662208,4569378,3135651,5710154,161816,549590595,34452,19387153,2005940,3377075,458095,2263122,471597,33186,30115214,33500,2895147,17802997,311265,340143481,104514932,54476,4852150916,2057048,12369070,401268,48564484,613353,2496391,57246,19910552,2939247,1221003,12301838,25190652,1907745,228750,13125916,135320422,5364935,16281779,4591910,25419344,9902,4087500,2445517,22442101,156664697,3269356,27624213,84710542,19867,6354245,38182222,617518671,3826878,23732731,10483861,5730549,3236626,2050572,1041075168,255992,753334,21451748,144067316,8680524,1493757846,23132682,30214193,10810083,4166664,458539,5433991,6023797,28940,10130243,7463157,737679777,7213351,738983255,31189626,153737,493680,5372280,1997012,8993531,1026286,32488,82475,17827825,26700,9734767,5467766,64995299,6662389,4703401,533415168,971893,100218,1290123,10022277,67010930,9869,37379767,26821297,47451626,3321476,292805298,25864350,108512,25996594,22334,108467,83062821,204127,6431551642,178590,1704622,19540098,47291610,11550642,12019912
2005,100031,25654277,19433602,3011487,78867,314965793,4588225,38892931,2981269,59562,81465,20394800,8227829,8391850,7364862,10478617,7982225,13421930,139035505,7658972,889164,324859,3765331,9663915,283800,64154,9232306,186127103,276323,365114,648739,1799078,4038382,32243753,106041911,7437115,151678,16182721,1303720000,18354514,17733410,54785903,3622775,42647731,611627,463032,4285502,6742709,11261582,137658,49261,1027662,10211216,82469422,783254,70589,5419432,9097257,33149724,13825847,75523569,2826659,43653155,1354775,76346311,5246096,821604,63179351,47722,106129,1390549,60401206,3902469,21814642,33219,9109581,1543741,1344930,749535,10987314,104661,56935,12948292,158402,746163,6813200,7458985,4310145,9195288,10087065,226289470,810355271,80305,1147609927,4159914,69762347,26922284,296734,6930100,57969484,2740003,5765635,127773000,15147029,36624895,5162600,13273354,92325,46852,48184561,2270198,527308236,5751676,4698763,3218116,5798614,163417,556504290,34713,19544988,1996114,3322528,465158,2238799,482858,34248,30455561,33843,2888111,18336724,319608,347029874,106005203,55258,4911767226,2060273,12775516,403834,48949924,614261,2526424,56542,20493925,3024194,1228254,12625952,25690611,1938320,232250,13624467,138865016,5438690,16319868,4623291,25744500,9849,4133900,2511251,22929109,160304008,3330217,27866145,86326250,19781,6494903,38165445,635451653,3821362,23904167,10503330,5824096,3320396,2074778,1046366694,258780,865416,21319685,143518814,8840215,1518861552,23816183,30949516,11090116,4265762,469918,5645624,6052123,29324,10446863,7440769,757613569,7535932,758924681,31746596,157472,499461,5372807,2000474,9029572,1030579,33011,82858,18361176,28180,10096633,5611640,65416189,6789321,4754646,540306214,995135,100905,1296502,10106771,67903469,10000,38450320,27684585,47105171,3321803,295516599,26167000,108614,26432447,23107,108454,83832661,209282,6511748367,179727,1705780,20107409,47880601,11856247,12076699
2006,100834,26433049,20149901,2992547,80993,322452754,5300174,39289878,2958307,59107,82704,20697900,8268641,8484550,7607849,10547958,8216897,13829176,140921167,7601022,958418,331033,3765424,9604924,291329,64523,9395446,188167356,277477,370263,657410,1835908,4118069,32571174,105772481,7483934,153008,16354504,1311020000,18754916,18223674,56578037,3745141,43200901,626425,469170,4345412,6788114,11261248,141239,50740,1045507,10238905,82376451,794563,70718,5437272,9218686,33641002,14059384,76873663,2918205,44397319,1346810,78489206,5266268,827870,63621381,47792,105371,1430152,60846820,3880347,22379055,33417,9307425,1591445,1377581,784496,11020362,104933,56774,13213330,158648,746343,6857100,7634298,4311159,9344785,10071370,229318262,829685531,81285,1165486291,4273591,70554760,27448124,303782,7053700,58143979,2754407,5991540,127854000,15308084,37649033,5218400,13477709,94343,47333,48438292,2373672,533896504,5846074,4759753,3329211,5886872,165381,563337673,34970,19695972,1989939,3269909,472637,2218357,493799,35237,30804683,34190,2880095,18880269,327487,354302463,107560153,55767,4971147431,2063131,13203378,405308,49301050,615025,2558856,55882,21080110,3111906,1233996,12973699,26201961,1971317,235750,14143971,142538308,5513763,16346101,4660677,26066693,9828,4184600,2580758,23486218,164022627,3391666,28102056,87888675,19540,6646895,38141267,653695022,3805214,24054864,10522288,5913209,3406334,2100869,1052054839,261010,1022711,21193760,143049637,9043337,1543610696,24498310,31661823,11382268,4401365,481078,5829237,6079399,29700,10763905,7411569,778248224,7907406,779566820,32375201,161681,505292,5373054,2006868,9080505,1036092,33441,84600,19059258,29391,10457124,5762880,65812536,6922587,4810109,547139425,1016432,101706,1302561,10201214,68756810,10120,39548663,28571475,46787786,3325401,298379912,26488250,108603,26850194,24023,108371,84617540,214370,6592734537,180876,1719536,20687646,48489459,12173514,12155491
2007,101222,27100536,20905363,2970017,82684,330290716,6168838,39684295,2932618,58365,84026,20827600,8295487,8581300,7862214,10625700,8454793,14252021,142660376,7545338,1035919,337389,3762786,9560953,299025,64888,9558439,190130443,278700,374965,664876,1875459,4198010,32889025,105378748,7551117,154636,16530195,1317885000,19171237,18730282,58453683,3876119,43737512,641620,475060,4404628,6833384,11251122,144056,52280,1063713,10298828,82266372,805451,70795,5461438,9338861,34166972,14296557,78232126,2996536,45226803,1340680,80674348,5288720,836190,64016225,47825,104444,1472575,61322463,3860158,22963946,33517,9518162,1639848,1411543,821687,11048473,105190,56555,13477017,158847,746474,6916300,7808518,4310217,9495328,10055780,232374245,849281038,82408,1183209472,4398942,71336475,27911248,311566,7180100,58438310,2768227,6255280,128001000,15484192,38705932,5268400,13679962,96527,47769,48683638,2504019,540405225,5944948,4767344,3461911,5974787,167639,570091451,35217,19842044,1986922,3231294,479993,2200325,504511,36137,31163673,34525,2873429,19433530,335169,361929136,109170502,56051,5030411014,2065426,13651464,406724,49621475,615875,2593820,55219,21673316,3202517,1239630,13341806,26720370,2006514,239250,14685399,146339977,5590055,16381696,4709153,26382581,9842,4223800,2657158,24104670,167808105,3453675,28333052,89405482,19158,6808514,38120560,672318833,3782995,24188331,10542964,5998427,3494496,2128664,1057981931,262721,1218434,20882982,142805114,9273757,1568003159,25184597,32360621,11687080,4588599,492132,5989633,6105810,30063,11080121,7381579,799583871,8315139,800908534,33066718,166300,511181,5374622,2018122,9148092,1042652,33811,85033,19878254,30385,10818024,5920359,66182067,7062672,4870141,553909968,1036392,102581,1308451,10304726,69581848,10221,40681414,29486338,46509355,3331749,301231207,26868000,108518,27247610,25047,108339,85419591,219472,6674203645,182046,1733404,21282515,49119759,12502958,12255922
2008,101358,27722276,21695634,2947314,83862,338395961,7089487,40080160,2907618,57492,85397,21249200,8321496,8763400,8126102,10709973,8696921,14689725,144304167,7492561,1114641,343681,3754271,9527985,306823,65273,9721454,192030362,279946,379421,671613,1915639,4273366,33247118,105001883,7647675,156433,16708258,1324655000,19605569,19252666,60411195,4011486,44254972,657229,480842,4463125,6878970,11236971,145880,53836,1081563,10384603,82110097,816358,70827,5493621,9458075,34730608,14535739,79636079,3062779,45954106,1337090,82916235,5313399,845361,64374984,47820,103543,1518540,61806995,3848449,23563825,33559,9738792,1689285,1446936,860840,11077841,105456,56328,13739299,159036,746817,6957800,7980955,4309705,9646580,10038188,235469762,869106787,83508,1200669765,4489544,72120604,28385746,317414,7308800,58826731,2781876,6556478,128063000,15674000,39791981,5318700,13883834,98761,48178,49054708,2656009,546848929,6046620,4764741,3607860,6058748,170011,576783744,35471,19983984,1987129,3198231,488650,2177322,515239,36885,31536811,34872,2867964,19996473,343452,369823252,110815271,56174,5090127273,2067313,14113577,409379,49929642,616969,2631898,54625,22276596,3296238,1244121,13727890,27236006,2043394,242750,15250908,150269623,5667432,16445593,4768212,26666576,9891,4259800,2750963,24762406,171648986,3516204,28562317,90901965,18704,6976201,38125759,691447610,3760866,24310142,10558177,6081296,3591977,2157454,1064394156,264061,1436665,20537875,142742366,9524534,1592010819,25888541,33060837,12004701,4839396,503360,6133603,6131764,30434,11397188,7350222,821614380,8736939,822945457,33798830,171120,517122,5379233,2021316,9219637,1049945,33964,86956,20664038,31202,11183588,6083420,66530984,7209930,4935767,560624659,1055431,103379,1314443,10414433,70418604,10314,41853944,30431736,46258189,3340221,304093966,27302800,108393,27635832,26097,108399,86243413,224704,6756917893,183263,1747383,21892146,49779471,12848530,12379549
